6832,Energetic Bomb Ganbaruger
8057,Fight! Kickers
6637,Ganbare Genki
1085,Kinnikuman: Ooabare! Seigi Choujin
2805,Stop!! Hibari-kun!
3391,Ganbarist! Shun
2038,Linebarrels of Iron
6154,Nabari no Ou
8060,Moonlight Pierce
3900,Rose of Versailles Movie
4771,Suna no Bara: Yuki no Mokushiroku
8529,Hoero! Bun Bun
4302,_Summer Specials
5274,Bari Bari Densetsu
7491,La Rose de Versailles
8713,Yobarete Tobidete Akubi-chan
7756,Chounouryoku Shoujo Barabanba
1045,Minami-ke Betsubara
1675,The Larks' Moving Day
3503,Maiden Rose
8455,21-Emon: To Space! The Barefoot Princess
4713,Psychoarmor Govarian
6425,Minky Momo: The Station of Your Memories
5349,King of Thorn
97,Choujin Sentai Baratack
1975,Briar-Rose or The Sleeping Beauty
5173,Lady Oscar Special
2756,Julie the Wild Rose
7033,Bara no Hana to Joe
6732,Agukaru
5415,The Mystic Archives of Dantalian: Ibarahime
578,Sasami-san@Ganbaranai
2490,Maiden Rose Specials
6864,Glass no Kamen Desu ga the Movie: Onna Spy no Koi! Murasaki no Bara wa Kiken na Kaori!?
1828,Senbon Matsubara
8439,Barakamon
3284,"Subarashii Sekai Ryokou: Alaska no Tabi ""Daigo Hyougaki"""
1038,Agukaru Agriculture Angel Baraki: Play with Ibaraki Hen
8766,Barakamon: Mijikamon
2780,Kinken Chochiku Shiobara Tasuke
6368,Ikiteirutte Subarashii!
7421,Paprika
606,Millennium Actress
4551,Perfect Blue
9032,Tokyo Underground
3610,Bubblegum Crisis Tokyo 2040
5478,Tokyo Mew Mew
6709,Tokyo Godfathers
4159,Tokyo Babylon
6029,Ten Tokyo Warriors
1324,Tokyo Revelation
7937,Lupin III: Crisis in Tokyo
7184,Tokyo Tribe 2
874,Tokyo Majin Gakuen Kenpucho: Tou
3633,The Tokyo Project
3954,Tokyo Pig
6277,Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku
970,Tsubasa: Tokyo Revelations
8279,Tokyo Marble Chocolate
5436,Chu2
1771,Momone
3731,Tokyo Requiem
2567,Shin SOS Dai Tokyo Tankentai
2435,Tokyo Loop
5851,Tokyo Magnitude 8.0
3596,Tokyo Magnitude 8.0 Recap
7585,Shin Tenchi Muyo! Specials
6319,GYO: Tokyo Fish Attack
1731,Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio
7081,Where Dreams Come True
1450,Tokyo Ravens
5634,"Boku no Imouto wa ""Osaka Okan"": Uchi no Onii-chan wa Tokyo Rule"
6779,Marginal Prince: Gekkeiju no Ouji-tachi - Tokyo Merry-Go-Round
2393,Tokyo ESP
6453,Tokyo Ravens Specials
8413,Passage of Time: Tokyo Station
1243,Tokyo Babylon: Vision
2011,Tokyo Juushouden: Fuuma Gogyou Denshou
5680,Tokyo Ghoul √A
7295,Tokyo Fantasia
1760,"Iriya no Sora, UFO no Natsu"
2774,Sandglass of Summer Colors
6691,Mahoromatic Summer Special
7486,Air in Summer
1451,"True Love Story Summer Days, and yet..."
2790,xxxHOLiC - A Midsummer Night's Dream
1977,Sugar: A Little Snow Fairy Summer Special
7908,Nasu: Summer in Andalusia
141,Wet Summer Days
8668,Can Can Bunny
1678,Lupin III: Nusumareta Lupin
4555,Magic Teacher Negima! Summer OVA
6694,Di Gi Charat Summer Special 2000
8348,Doraemon: Summer Holiday
4361,Candy Candy: Candy's Summer Vacation
3923,Summer Days with Coo
8680,La Corda D'Oro: Primo Passo - A Summer Encore
6819,Crayon Shin-Chan: Den-O vs. Shin-O
5914,Kuro ga Ita Natsu
2700,Nodame Cantabile Special
8882,Someday's Dreamers II Sora
2060,Septem Charm Magical Kanan: SP Summer Camp
1909,Pokemon: Pikachu's Summer Vacation
8565,Summer Storm!
3087,Pokemon: Pikachu's Summer Festival!
7045,Nijiiro Hotaru: Eien no Natsuyasumi
5577,Pico: My Little Summer Story
5427,Summer Storm! Open for Business
5716,Ookiku Furikabutte: Natsu no Taikai Hen
7834,Touhou Niji Sousaku Doujin Anime: Musou Kakyou
2065,Tantei Opera Milky Holmes: Summer Special
5308,Pokemon: Pikachu's Summer Bridge Story
1204,Ein's Summer Vacation
